internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
161373,Pseudobatos percellens,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE,Pseudobatos,percellens,,,,,"(Walbaum, 1792)","Last <em>et al</em>. (2016a) revised the genus <em>Rhinobatos</em>, transferring <em>glaucostigma</em>, <em>horkelii</em>, <em>lentiginosus</em>, <em>leucorhynchus</em>, <em>percellens</em>, <em>planiceps</em>, <em>prahli</em>, and <em>productus</em> to the new genus <em>Pseudobatos</em>."
161378,Carcharhinus acronotus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,acronotus,,,,,"(Poey, 1860)",
161403,Somniosus pacificus,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,SOMNIOSIDAE,Somniosus,pacificus,,,,,"Bigelow &amp; Schroeder, 1944",Interspecific hybridization of the Pacific Sleeper Shark (<em>S. pacificus</em>) with the Greenland Shark (<em>S. microcephalus</em>) has likely been ongoing at the edges of their distributions since initial divergence (Walter <em>et al</em>. 2017).
161436,Myliobatis goodei,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,MYLIOBATIDAE,Myliobatis,goodei,,,,,"Garman, 1885","Records of eastern Atlantic <em>Myliobatis aquila</em> from southern Brazil probably refer to this species, if both species are indeed distinct (if not, the name <em>M. aquila</em> has priority). There are two sister species in the southern part of its range under the present name <em>M. goodei</em>, with a description of the second species pending (Ruocco <em>et al. </em>2012)."
161443,Etmopterus pusillus,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,ETMOPTERIDAE,Etmopterus,pusillus,,,,,"(Lowe, 1839)","The similar, but larger,<em>&#160;Etmopterus bigelowi </em>was previously confused with this species until described as a distinct species by Shirai and Tachikawa (1993)."
161514,Dipturus oregoni,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Dipturus,oregoni,,,,,"(Bigelow &amp; Schroeder, 1958)",
161517,Etmopterus lucifer,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,ETMOPTERIDAE,Etmopterus,lucifer,,,,,"Jordan &amp; Snyder, 1902","Taxonomy remains unresolved for this species, with nominal records from various locations likely to represent other species (Ebert <em>et al.</em> 2013). This species is frequently misidentified with other regional etmopterids, e.g., <em>Etmopterus burgessi </em>(Schaaf-DaSilva and Ebert 2006). Therefore, care should be taken when identifying similar looking <em>lucifer</em>-group lanternsharks."
161518,Mustelus norrisi,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE,Mustelus,norrisi,,,,,"Springer, 1939","This species can be visually distinguished from two morphologically similar regional congeners, the Dusky Smoothhound (<em>Mustelus canis</em>) and the Gulf of Mexico Smoothhound (<em>M. sinusmexicanus</em>) by several characters including fin shape and ampullary pore patterns (Giresi <em>et al. </em>2013)."
161524,Carcharhinus isodon,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,isodon,,,,,"(Valenciennes in Müller &amp; Henle, 1839)",
161564,Carcharhinus altimus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,altimus,,,,,"(Springer, 1950)","The Bignose Shark is morphologically distinct but genetically similar to the Sandbar Shark (<em>Carcharhinus plumbeus</em>) (Naylor <em>et al.</em> 2012, Duffy and Struthers 2017)."
161610,Dipturus teevani,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Dipturus,teevani,,,,,"(Bigelow &amp; Schroeder, 1951)",
161681,Springeria folirostris,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Springeria,folirostris,,,,,"Bigelow &amp; Schroeder, 1951",
161682,Cruriraja rugosa,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,GURGESIELLIDAE,Cruriraja,rugosa,,,,,"Bigelow &amp; Schroeder, 1958",
161696,Alopias superciliosus,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,superciliosus,,,,,"Lowe, 1841",
161702,Rajella purpuriventralis,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Rajella,purpuriventralis,,,,,"(Bigelow &amp; Schroeder, 1962)",
161718,Dipturus olseni,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Dipturus,olseni,,,,,"(Bigelow &amp; Schroeder, 1951)",
161731,Pteroplatytrygon violacea,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,DASYATIDAE,Pteroplatytrygon,violacea,,,,,"(Bonaparte, 1832)",
161743,Pseudobatos lentiginosus,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE,Pseudobatos,lentiginosus,,,,,"(Garman, 1880)","Last <em>et al</em>. (2016a) revised the genus <em>Rhinobatos</em>, transferring <em>glaucostigma</em>, <em>horkelii</em>, <em>lentiginosus</em>, <em>leucorhynchus</em>, <em>percellens</em>, <em>planiceps</em>, <em>prahli</em>, and <em>productus</em> to the new genus <em>Pseudobatos</em>."
162494,Semirossia patagonica,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Semirossia,patagonica,,,,,"(Smith, 1881)",
162495,Austrorossia mastigophora,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Austrorossia,mastigophora,,,,,"(Chun, 1915)",
162496,Sepia tanybracheia,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,tanybracheia,,,,,"Reid, 2000",
162497,Sepia lycidas,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,lycidas,,,,,"Gray, 1849",
162498,Sepia hierredda,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,hierredda,,,,,"Rang, 1835 (in Férussac &amp; d'Orbigny 1834-1848)",Morphological and allozyme analysis have shown that <em>Sepia hierredda</em> is a separate species to <em>Sepia officinalis</em>   (Reid <em>et al.</em> 2005).
162499,Sepioloidea lineolata,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIADARIIDAE,Sepioloidea,lineolata,,,,,"(Quoy &amp; Gaimard, 1832)",
162500,Sepiella inermis,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepiella,inermis,,,,,"(Van Hasselt, 1835 in Férussac &amp; d'Orbigny 1834-1848)",<em>Sepiella inermis</em> may consist of a species complex   (Reid <em>et al.</em> 2005).
162501,Rossia brachyura,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Rossia,brachyura,,,,,"Verrill, 1883",
