assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
895848,161702,Rajella purpuriventralis,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,RAJIDAE,Rajella,purpuriventralis,,,,"(Bigelow &amp; Schroeder, 1962)",Least Concern,,3.1,Stable,Global
896010,161718,Dipturus olseni,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,RAJIDAE,Dipturus,olseni,,,,"(Bigelow &amp; Schroeder, 1951)",Least Concern,,3.1,Decreasing,Global
896169,161731,Pteroplatytrygon violacea,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,DASYATIDAE,Pteroplatytrygon,violacea,,,,"(Bonaparte, 1832)",Least Concern,,3.1,Unknown,Global
896981,161743,Pseudobatos lentiginosus,ANIMALIA,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,RHINOBATIDAE,Pseudobatos,lentiginosus,,,,"(Garman, 1880)",Vulnerable,A2cd,3.1,Decreasing,Global
901754,162494,Semirossia patagonica,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Semirossia,patagonica,,,,"(Smith, 1881)",Least Concern,,3.1,Unknown,Global
901868,162495,Austrorossia mastigophora,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Austrorossia,mastigophora,,,,"(Chun, 1915)",Least Concern,,3.1,Unknown,Global
902152,162496,Sepia tanybracheia,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,tanybracheia,,,,"Reid, 2000",Data Deficient,,3.1,Unknown,Global
902289,162497,Sepia lycidas,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,lycidas,,,,"Gray, 1849",Data Deficient,,3.1,Unknown,Global
902737,162498,Sepia hierredda,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,hierredda,,,,"Rang, 1835 (in Férussac &amp; d'Orbigny 1834-1848)",Data Deficient,,3.1,Unknown,Global
903030,162499,Sepioloidea lineolata,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIADARIIDAE,Sepioloidea,lineolata,,,,"(Quoy &amp; Gaimard, 1832)",Data Deficient,,3.1,Unknown,Global
903191,162500,Sepiella inermis,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepiella,inermis,,,,"(Van Hasselt, 1835 in Férussac &amp; d'Orbigny 1834-1848)",Data Deficient,,3.1,Unknown,Global
903699,162501,Rossia brachyura,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Rossia,brachyura,,,,"Verrill, 1883",Data Deficient,,3.1,Unknown,Global
903824,162502,Stoloteuthis leucoptera,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Stoloteuthis,leucoptera,,,,"(Verrill, 1878)",Data Deficient,,3.1,Unknown,Global
904119,162503,Sepia koilados,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,koilados,,,,"Reid, 2000",Least Concern,,3.1,Unknown,Global
904257,162504,Sepia pharaonis,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,pharaonis,,,,"Ehrenberg, 1831",Data Deficient,,3.1,Unknown,Global
904969,162505,Sepia latimanus,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,latimanus,,,,"Quoy &amp; Gaimard, 1832",Data Deficient,,3.1,Unknown,Global
905720,162506,Sepia murrayi,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,murrayi,,,,"Adam &amp; Rees, 1966",Data Deficient,,3.1,Unknown,Global
905895,162507,Megaleledone setebos,ANIMALIA,MOLLUSCA,OCTOPODA,CEPHALOPODA,MEGALELEDONIDAE,Megaleledone,setebos,,,,"(Robson, 1932)",Least Concern,,3.1,Stable,Global
906118,162508,Sepiola parva,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Sepiola,parva,,,,"Sasaki, 1913",Least Concern,,3.1,Unknown,Global
906314,162509,Sepia trygonina,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,trygonina,,,,"(Rochebrune, 1884)",Least Concern,,3.1,Unknown,Global
906617,162510,Sepia robsoni,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,robsoni,,,,"(Massy, 1927)",Data Deficient,,3.1,Unknown,Global
906758,162511,Sepia tokioensis,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,tokioensis,,,,"Ortmann, 1888",Data Deficient,,3.1,Unknown,Global
