Unnamed: 0,ID,Goal,Target,Indicator,ReleaseStatus,ReleaseName,SeriesID,SeriesCode,SeriesDescription,SeriesObservationCount,GeoAreaCode,GeoAreaName,TimePeriod,Value,ValueType,Time_Detail,Source,FootNote,ObservationID,Age,Freq,Location,Nature,Sex,Units,Bounds,Level/Status,Name of international agreement,Education level,Type of product,Type of facilities,Name of international institution,Type of occupation,Tariff regime (status),Type of skill,Mode of transportation,Type of mobile technology,Name of non-communicable disease,Type of speed,Migratory status,Disability status,Hazard type,IHR Capacity,Cities,Reporting Type,Quantile
1033646,370419,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,642,Romania,2013,0.64881,Float,2013,Country submission for Ocean Science data and UIS for R/D,,3876893,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033647,370420,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,643,Russian Federation,2009,0.02962,Float,2009,Country submission for Ocean Science data and UIS for R/D,,3876939,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033648,370421,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,643,Russian Federation,2010,0.03709,Float,2010,Country submission for Ocean Science data and UIS for R/D,,3876926,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033649,370422,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,643,Russian Federation,2011,0.04139,Float,2011,Country submission for Ocean Science data and UIS for R/D,,3876946,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033650,370423,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,643,Russian Federation,2012,0.03486,Float,2012,Country submission for Ocean Science data and UIS for R/D,,3876889,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033651,370424,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,643,Russian Federation,2013,0.03843,Float,2013,Country submission for Ocean Science data and UIS for R/D,,3876912,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033652,370425,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,724,Spain,2010,0.37284,Float,2010,Country submission for Ocean Science data and UIS for R/D,IEO - only data for the Instituto Español de Oceanografía,3876924,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033653,370426,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,724,Spain,2011,0.36979,Float,2011,Country submission for Ocean Science data and UIS for R/D,IEO - only data for the Instituto Español de Oceanografía,3876957,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033654,370427,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,724,Spain,2012,0.35975,Float,2012,Country submission for Ocean Science data and UIS for R/D,IEO - only data for the Instituto Español de Oceanografía,3876885,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033655,370428,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,724,Spain,2013,0.2841,Float,2013,Country submission for Ocean Science data and UIS for R/D,IEO - only data for the Instituto Español de Oceanografía,3876897,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033656,370429,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,764,Thailand,2011,2.02262,Float,2011,Country submission for Ocean Science data and UIS for R/D,,3876922,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033657,370430,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,780,Trinidad and Tobago,2009,1.03351,Float,2009,Country submission for Ocean Science data and UIS for R/D,,3876880,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033658,370431,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,780,Trinidad and Tobago,2010,1.6252,Float,2010,Country submission for Ocean Science data and UIS for R/D,,3876945,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033659,370432,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,780,Trinidad and Tobago,2011,2.36292,Float,2011,Country submission for Ocean Science data and UIS for R/D,,3876920,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033660,370433,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,780,Trinidad and Tobago,2012,2.20492,Float,2012,Country submission for Ocean Science data and UIS for R/D,,3876941,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033661,370434,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,792,Turkey,2010,0.05791,Float,2010,Country submission for Ocean Science data and UIS for R/D,,3876928,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033662,370435,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,792,Turkey,2011,0.04226,Float,2011,Country submission for Ocean Science data and UIS for R/D,,3876947,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033663,370436,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,792,Turkey,2012,0.07472,Float,2012,Country submission for Ocean Science data and UIS for R/D,,3876907,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033664,370437,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,792,Turkey,2013,0.0928,Float,2013,Country submission for Ocean Science data and UIS for R/D,,3876881,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
1033665,370438,14,14.a,14.a.1,Published,2019.Q1.G.02,2998,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),86,840,United States of America,2012,2.54969,Float,2012,Country submission for Ocean Science data and UIS for R/D,,3876943,,,,CA,,PERCENT,,,,,,,,,,,,,,,,,,,,G,
