https://www.fao.org/fishery/statistics-query/en/gfcm_capture/gfcm_capture_quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name En,ASFIS species Name En,Unit Name,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag
Albania,"Guitarfishes, etc. nei",Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,2,,0,M,0,M,3,,3,,8,,1,,0,,0,N,2,,0,,0,,0,,0,,0,N,1,,0,N,0,M,0,M,0,M,0,M,0,M
Albania,"Gurnards, searobins nei",Tonnes - live weight,22,,19,,22,,10,,11,,12,,6,,4,,7,,40,,16,,36,,39,,41,,26,,20,,7,,25,,72,,34,,0,,0,,0,,0,N,15,,2,,0,M,0,M,0,M,0,M,0,M
Albania,Jack and horse mackerels nei,Tonnes - live weight,171,,163,,95,,105,,100,,115,,95,,93,,80,,170,,90,,182,,139,,130,,118,,75,,94,,66,,65,,21,,90,,92,,85,,18,,68,,50,,0,M,0,M,0,M,0,M,0,M
Albania,John dory,Tonnes - live weight,13,,8,,7,,15,,18,,19,,9,,11,,12,,18,,0,M,22,,12,,12,,4,,2,,2,,3,,5,,0,,0,,0,,0,,0,N,0,N,2,,0,M,0,M,0,M,0,M,0,M
Albania,Leerfish,Tonnes - live weight,12,,9,,6,,12,,13,,11,,12,,7,,6,,13,,32,,13,,42,,37,,2,,4,,1,,1,,1,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Marine fishes nei,Tonnes - live weight,0,,44,,52,,200,,330,,348,,520,,430,,316,,1019,,880,,980,,852,,772,,900,,944,,720,,4,,323,,312,,789,,375,,370,,108,,327,,105,,450,E,250,E,48,,571,,714,
Albania,Mediterranean mussel,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,50,,0,,0,,0,,0,,24,,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Mediterranean shore crab,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,9,,4,,1,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Megrim,Tonnes - live weight,26,,21,,20,,21,,20,,23,,21,,18,,20,,8,,15,,28,,29,,11,,5,,7,,2,,0,N,6,,1,,0,,0,,0,,0,N,1,,1,,0,M,0,M,0,M,0,M,0,M
Albania,Monkfishes nei,Tonnes - live weight,33,,32,,17,,21,,22,,19,,16,,15,,17,,16,,0,M,39,,18,,21,,18,,12,,22,,25,,14,,0,M,44,,48,,42,,0,N,46,,0,N,0,M,0,M,0,M,0,M,0,M
