DATAFLOW,LAST UPDATE,freq,c_resid,terrtypo,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,DE,2020,60227948,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,DE,2021,62667889,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,DE,2022,80399034,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,DK,2012,25463303,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,DK,2013,25903745,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,DK,2014,27027381,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,DK,2015,28076340,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,DK,2016,29085410,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,DK,2017,29266628,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,DK,2018,30396126,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,DK,2019,31339817,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,DK,2020,21771215,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,DK,2021,26308296,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EE,2012,4396921,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EE,2013,4512256,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EE,2014,4584215,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EE,2015,4555031,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EE,2016,4894564,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EE,2017,5053369,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EE,2018,5146135,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EE,2019,5407505,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EE,2020,2590184,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EE,2021,2781841,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EE,2022,4478925,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EL,2012,76599740,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EL,2013,85040610,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EL,2014,96052779,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EL,2015,101455892,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EL,2016,105362454,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EL,2017,113779052,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EL,2018,136934459,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EL,2019,137483702,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EL,2020,36379160,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EL,2021,71083676,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,EL,2022,127323005,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,ES,2012,303005138,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,ES,2013,310029676,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,ES,2014,317915758,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,ES,2015,328697929,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,ES,2016,354247335,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,ES,2017,365084742,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,ES,2018,358344177,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,ES,2019,356247921,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,ES,2020,98763855,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,ES,2021,185370019,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,ES,2022,339254985,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FI,2012,7788601,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FI,2013,7613322,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FI,2014,7608413,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FI,2015,7784103,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FI,2016,7813239,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FI,2017,8747752,
