DATAFLOW,LAST UPDATE,freq,indic_env,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,CZ,2018,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,CZ,2019,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,CZ,2020,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,CZ,2021,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,CZ,2022,,z
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2000,1668,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2001,85,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2002,40,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2003,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2004,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2005,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2006,17,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2007,170,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2008,305,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2009,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2010,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2011,153,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2012,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2013,130,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2014,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2015,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2016,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2017,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2018,34,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2019,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2020,860,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2021,11,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DE,2022,11,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2000,5689,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2001,179,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2002,1127,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2003,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2004,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2005,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2006,11,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2007,4762,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2008,1939,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2009,53,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2010,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2011,8882,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2012,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2013,179,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2014,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2015,748,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2016,21,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2017,11,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2018,21,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2019,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2020,32,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2021,780,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,DK,2022,2571,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2000,18,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2001,51,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2002,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2003,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2004,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2005,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2006,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2007,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2008,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2009,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2010,26,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2011,11,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2012,99,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2013,201,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2014,58,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2015,106,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2016,66,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2017,110,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2018,412,
