,year,StockCode,AdviceValue,AdviceType,AdviceApplicableFrom,AdviceApplicableUntil,AdviceValueUnit,AssessmentYear,AssessmentKey,AdviceKey,AdviceDOI,Reference,TAC ID,Species_x,TAC Zone,Level,TAC for comparison,Year,Amendment/Original,FishStock,FishStockTAC,area,speciesAcronym,_merge,Area,Species_y,Belgium,China,Denmark,Estonia,Faroe Islands,Finland,France,Germany,Greenland,Guernsey,Iceland,Ireland,Isle of Man,Japan,Jersey,"Korea, Republic of",Latvia,Lithuania,Netherlands,Norway,Poland,Portugal,Russian Federation,Spain,Sweden,"Taiwan, Province of China",United Kingdom of GB,tacCatches,_mergeSADTAC
30,2020.0,her.27.20-24,0,Catches,2020.0,2020.0,t,2019.0,12592.0,1147.0,https://doi.org/10.17895/ices.advice.4715,(HER/3BC+24) - 2020 - TAC - Original,(HER/3BC+24),Herring,Subdivisions 22-24,TAC,3150,2020.0,Original,her.27.20-24,her.27.20-24,27.3.d.24,her,both,27.3.d.24,her,,,583.0,,,0.0,,2054.6452,,,,,,,,,0.0,0.0,,,500.271,,,,233.05,,,both,both
31,2020.0,her.27.nirs,8064,Catches,2020.0,2020.0,t,2019.0,10343.0,1163.0,https://doi.org/10.17895/ices.advice.4719,(HER/07A/MM) - 2020 - TAC - Original,(HER/07A/MM),Herring,7a,TAC,8064,2020.0,Original,her.27.nirs,her.27.nirs,27.7.a,her,both,27.7.a,her,,,,,0.0,,0.0,,,,,1988.1464,0.015,,,,,,0.0,0.0,,,,,,,5969.5758,both,both
32,2020.0,her.27.3a47d,431062,Catches,2020.0,2020.0,ratio,2019.0,10365.0,1164.0,https://doi.org/10.17895/ices.advice.4716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
33,2020.0,bss.27.8ab,2533,Catches,2020.0,2020.0,t,2019.0,13045.0,1179.0,https://doi.org/10.17895/ices.advice.4757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
34,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/2A3AX4) - 2020 - TAC - Original,(COD/2A3AX4),Cod,4; Union waters of 2a; that part of 3a not covered by the Skagerrak and Kattegat,TAC,14718,2020.0,Original,cod.27.47d20,cod.27.47d20,27.3.a.20,cod,both,27.3.a.20,cod,,,1856.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,223.974,,0.0,both,both
35,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/03AN.) - 2020 - TAC - Original,(COD/03AN.),Cod,Skagerrak,TAC,2103,2020.0,Original,cod.27.47d20,cod.27.47d20,27.3.a.20,cod,both,27.3.a.20,cod,,,1856.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,223.974,,0.0,both,both
36,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/07D.) - 2020 - TAC - Original,(COD/07D.),Cod,7d,TAC,858,2020.0,Original,cod.27.47d20,cod.27.47d20,27.3.a.20,cod,both,27.3.a.20,cod,,,1856.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,223.974,,0.0,both,both
37,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/2A3AX4) - 2020 - TAC - Original,(COD/2A3AX4),Cod,4; Union waters of 2a; that part of 3a not covered by the Skagerrak and Kattegat,TAC,14718,2020.0,Original,cod.27.47d20,cod.27.47d20,27.4.a,cod,both,27.4.a,cod,0.6,,2319.0,,0.5,,257.993,541.4331,0.0,,0.0,0.0,,,,,,,353.131,1992.48,0.0,0.0,,0.0,198.7804,,8991.1016,both,both
38,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/03AN.) - 2020 - TAC - Original,(COD/03AN.),Cod,Skagerrak,TAC,2103,2020.0,Original,cod.27.47d20,cod.27.47d20,27.4.a,cod,both,27.4.a,cod,0.6,,2319.0,,0.5,,257.993,541.4331,0.0,,0.0,0.0,,,,,,,353.131,1992.48,0.0,0.0,,0.0,198.7804,,8991.1016,both,both
39,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/07D.) - 2020 - TAC - Original,(COD/07D.),Cod,7d,TAC,858,2020.0,Original,cod.27.47d20,cod.27.47d20,27.4.a,cod,both,27.4.a,cod,0.6,,2319.0,,0.5,,257.993,541.4331,0.0,,0.0,0.0,,,,,,,353.131,1992.48,0.0,0.0,,0.0,198.7804,,8991.1016,both,both
40,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/2A3AX4) - 2020 - TAC - Original,(COD/2A3AX4),Cod,4; Union waters of 2a; that part of 3a not covered by the Skagerrak and Kattegat,TAC,14718,2020.0,Original,cod.27.47d20,cod.27.47d20,27.4.b,cod,both,27.4.b,cod,658.9,,750.0,,0.0,,1.813,214.0954,,,,,,,,,,,187.669,274.19,0.0,,,0.0,155.876,,112.8761,both,both
41,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/03AN.) - 2020 - TAC - Original,(COD/03AN.),Cod,Skagerrak,TAC,2103,2020.0,Original,cod.27.47d20,cod.27.47d20,27.4.b,cod,both,27.4.b,cod,658.9,,750.0,,0.0,,1.813,214.0954,,,,,,,,,,,187.669,274.19,0.0,,,0.0,155.876,,112.8761,both,both
42,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/07D.) - 2020 - TAC - Original,(COD/07D.),Cod,7d,TAC,858,2020.0,Original,cod.27.47d20,cod.27.47d20,27.4.b,cod,both,27.4.b,cod,658.9,,750.0,,0.0,,1.813,214.0954,,,,,,,,,,,187.669,274.19,0.0,,,0.0,155.876,,112.8761,both,both
43,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/2A3AX4) - 2020 - TAC - Original,(COD/2A3AX4),Cod,4; Union waters of 2a; that part of 3a not covered by the Skagerrak and Kattegat,TAC,14718,2020.0,Original,cod.27.47d20,cod.27.47d20,27.4.c,cod,both,27.4.c,cod,6.0,,0.0,,,,5.344,1.7053,,,,,,,,,,,49.194,0.0,0.0,,,,0.0,,10.0043,both,both
44,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/03AN.) - 2020 - TAC - Original,(COD/03AN.),Cod,Skagerrak,TAC,2103,2020.0,Original,cod.27.47d20,cod.27.47d20,27.4.c,cod,both,27.4.c,cod,6.0,,0.0,,,,5.344,1.7053,,,,,,,,,,,49.194,0.0,0.0,,,,0.0,,10.0043,both,both
45,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/07D.) - 2020 - TAC - Original,(COD/07D.),Cod,7d,TAC,858,2020.0,Original,cod.27.47d20,cod.27.47d20,27.4.c,cod,both,27.4.c,cod,6.0,,0.0,,,,5.344,1.7053,,,,,,,,,,,49.194,0.0,0.0,,,,0.0,,10.0043,both,both
46,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/2A3AX4) - 2020 - TAC - Original,(COD/2A3AX4),Cod,4; Union waters of 2a; that part of 3a not covered by the Skagerrak and Kattegat,TAC,14718,2020.0,Original,cod.27.47d20,cod.27.47d20,27.7.d,cod,both,27.7.d,cod,8.3,,0.0,,,,9.863,,,,,0.0,,,,,,,1.8,,,,,,,,19.9009,both,both
47,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/03AN.) - 2020 - TAC - Original,(COD/03AN.),Cod,Skagerrak,TAC,2103,2020.0,Original,cod.27.47d20,cod.27.47d20,27.7.d,cod,both,27.7.d,cod,8.3,,0.0,,,,9.863,,,,,0.0,,,,,,,1.8,,,,,,,,19.9009,both,both
48,2020.0,cod.27.47d20,13686,Catches,2020.0,2020.0,t,2019.0,13211.0,1182.0,https://doi.org/10.17895/ices.advice.5640,(COD/07D.) - 2020 - TAC - Original,(COD/07D.),Cod,7d,TAC,858,2020.0,Original,cod.27.47d20,cod.27.47d20,27.7.d,cod,both,27.7.d,cod,8.3,,0.0,,,,9.863,,,,,0.0,,,,,,,1.8,,,,,,,,19.9009,both,both
49,2020.0,ple.27.7d,9073,Catches,2020.0,2020.0,t,2019.0,11534.0,1203.0,https://doi.org/10.17895/ices.advice.4871,(PLE/7DE.) - 2020 - TAC - Original,(PLE/7DE.),Plaice,7d and 7e,TAC,11529,2020.0,Original,ple.27.7d,ple.27.7d + ple.27.7e,27.7.d,ple,both,27.7.d,ple,743.8,,0.0,,,,983.734,0.5548,,,,0.0,,,,,,,49.185,,,,,,,,345.7139,both,both
50,2020.0,sol.27.7d,2846,Catches,2020.0,2020.0,t,2019.0,13195.0,1208.0,https://doi.org/10.17895/ices.advice.4874,(SOL/07D.) - 2020 - TAC - Original,(SOL/07D.),Common sole,7d,TAC,2797,2020.0,Original,sol.27.7d,sol.27.7d,27.7.d,sol,both,27.7.d,sol,685.5,,,,,,827.153,,,,,0.0,,,,,,,0.057,,,,,,,,199.1887,both,both
51,2020.0,had.27.46a20,41818,Catches,2020.0,2020.0,t,2019.0,13204.0,1211.0,https://doi.org/10.17895/ices.advice.5637,(HAD/3A/BCD) - 2020 - TAC - Original,(HAD/3A/BCD),Haddock,3a,TAC,2193,2020.0,Original,had.27.46a20,had.27.46a20,27.4.a,had,both,27.4.a,had,0.1,,1209.0,,1.8,,137.098,244.4607,,,0.0,0.0,,,,,,3.391,141.424,1715.4,0.0,0.0,,0.0,62.8552,,19186.6893,both,both
52,2020.0,had.27.46a20,41818,Catches,2020.0,2020.0,t,2019.0,13204.0,1211.0,https://doi.org/10.17895/ices.advice.5637,(HAD/5BC6A.) - 2020 - TAC - Original,(HAD/5BC6A.),Haddock,Union and international waters of 5b and 6a,TAC,3973,2020.0,Original,had.27.46a20,had.27.46a20,27.4.a,had,both,27.4.a,had,0.1,,1209.0,,1.8,,137.098,244.4607,,,0.0,0.0,,,,,,3.391,141.424,1715.4,0.0,0.0,,0.0,62.8552,,19186.6893,both,both
53,2020.0,had.27.46a20,41818,Catches,2020.0,2020.0,t,2019.0,13204.0,1211.0,https://doi.org/10.17895/ices.advice.5637,(HAD/2AC4.) - 2020 - TAC - Original,(HAD/2AC4.),Haddock,4; Union waters of 2a,TAC,35653,2020.0,Original,had.27.46a20,had.27.46a20,27.4.a,had,both,27.4.a,had,0.1,,1209.0,,1.8,,137.098,244.4607,,,0.0,0.0,,,,,,3.391,141.424,1715.4,0.0,0.0,,0.0,62.8552,,19186.6893,both,both
54,2020.0,had.27.46a20,41818,Catches,2020.0,2020.0,t,2019.0,13204.0,1211.0,https://doi.org/10.17895/ices.advice.5637,(HAD/3A/BCD) - 2020 - TAC - Original,(HAD/3A/BCD),Haddock,3a,TAC,2193,2020.0,Original,had.27.46a20,had.27.46a20,27.4.b,had,both,27.4.b,had,39.2,,470.0,,0.0,,6.603,125.2038,,,,0.0,,,,,,126.842,72.476,1449.28,0.0,,,0.0,52.1279,,1433.8645,both,both
55,2020.0,had.27.46a20,41818,Catches,2020.0,2020.0,t,2019.0,13204.0,1211.0,https://doi.org/10.17895/ices.advice.5637,(HAD/5BC6A.) - 2020 - TAC - Original,(HAD/5BC6A.),Haddock,Union and international waters of 5b and 6a,TAC,3973,2020.0,Original,had.27.46a20,had.27.46a20,27.4.b,had,both,27.4.b,had,39.2,,470.0,,0.0,,6.603,125.2038,,,,0.0,,,,,,126.842,72.476,1449.28,0.0,,,0.0,52.1279,,1433.8645,both,both
56,2020.0,had.27.46a20,41818,Catches,2020.0,2020.0,t,2019.0,13204.0,1211.0,https://doi.org/10.17895/ices.advice.5637,(HAD/2AC4.) - 2020 - TAC - Original,(HAD/2AC4.),Haddock,4; Union waters of 2a,TAC,35653,2020.0,Original,had.27.46a20,had.27.46a20,27.4.b,had,both,27.4.b,had,39.2,,470.0,,0.0,,6.603,125.2038,,,,0.0,,,,,,126.842,72.476,1449.28,0.0,,,0.0,52.1279,,1433.8645,both,both
57,2020.0,had.27.46a20,41818,Catches,2020.0,2020.0,t,2019.0,13204.0,1211.0,https://doi.org/10.17895/ices.advice.5637,(HAD/3A/BCD) - 2020 - TAC - Original,(HAD/3A/BCD),Haddock,3a,TAC,2193,2020.0,Original,had.27.46a20,had.27.46a20,27.4.c,had,both,27.4.c,had,0.7,,1.0,,,,0.402,0.0,,,,,,,,,,,4.157,0.0,0.0,,,,,,0.6286,both,both
