Country,Year,nitro,phospho,eutro,wasteG,wasteR,mspVal,ohiBio,co2,phCopernicus,fmsyF,bBmsy,kbaMPA,natura2kEEZ,fseRiskkRatio,tacCatch,compositeIUU,fteCoastalPop,gvaHoursW,economies,gvaNights,oResearch,sadTac,ohiArt,threatenedFish,imoRatedf
Finland,2019,,,1.754385964912281,,98.29659318637273,,58.02,44.40771785740706,,,,60.85412,33.27488463534961,,,53.277657858841025,14.961710307020013,17.604212936796625,63.714930137716166,63.87484788841783,,,80.87,,
Finland,2020,,,1.5151515151515151,33.33333333333333,99.5991983967936,,58.63,51.83910163194949,,,,60.85425,,,,,11.662557409117023,27.423563639036562,30.287034817206294,55.92532318913851,,,78.15,,
Finland,2021,,,9.090909090909092,,,,57.57,51.70816345641972,64.9840837596606,,,60.85425,33.278971956886934,,,64.03107770516252,,,,,,,73.94,,90.19607843137256
Finland,2022,,,0.78125,,,100.0,56.52,,,82.8409163620593,95.9091447912472,60.85425,,,92.1226890035696,,,,,,,95.61950252735531,77.45,90.0,
France,2012,59.8581560283688,100.0,100.0,32.0,64.12825651302605,25.0,66.57,61.80665365537477,77.20439072653454,91.0137667224097,97.1156812374079,62.51162,40.22515737844205,1.0330657159069088,84.1687567069571,,15.22446352737086,,32.38278848709318,47.09354456628407,,90.3239540394309,77.09,88.13559322033899,84.31372549019608
France,2013,47.3625140291807,12.500000000000004,5.263157894736842,,64.32865731462927,,65.52,61.82815724892038,,,,63.227,,2.890855230495318,,,15.15296193554318,,88.09310448667479,50.65459300429699,65.1770996373695,,77.44,,
France,2014,47.52252252252253,40.00000000000001,50.0,30.76923076923077,64.12825651302605,,64.58,67.88544146265984,,,,72.16826,,,,,14.997002644720517,,33.79983125033565,50.176749658413634,,,78.78,,
France,2015,37.71224307417337,22.222222222222225,25.0,,64.42885771543087,,66.15,67.13742767697136,,,,74.48404,,,,,14.491687902980175,,59.00475775414247,45.94298953816178,,,77.65,,
France,2016,29.614035087719305,6.896551724137932,33.333333333333336,27.586206896551722,64.62925851703407,25.0,66.78,66.84774177292998,75.50574551839625,93.5485098490612,96.9367017529231,76.43594,40.247364152473644,,91.2790432757104,,14.087974921703564,,28.159941684020332,47.0124512099124,,91.4595695891851,77.59,93.21608040201004,84.31372549019608
France,2017,41.740850642927796,50.000000000000014,50.0,,69.93987975951904,,70.23,66.46049591223327,,,,76.91387,,67.1972433376893,,,14.271383514883262,,63.67792228596275,53.21153471760485,43.51330258197716,,76.62,,
France,2018,34.47712418300654,9.523809523809526,1.0638297872340428,25.806451612903224,70.04008016032066,,69.92,69.39071810736048,,,,78.18471,,1.3118431789552008,,,14.166663727260783,,91.96750706488876,56.49202035053212,,,76.44,,
France,2019,,,12.5,,70.04008016032066,,71.49,70.76893394313241,,,,81.85441,100.0,,,54.60868413000854,14.310846857996207,,80.62426443059954,56.331294410190345,,,76.45,,
