Country,Year,nitro,eutro,wasteG,wasteR,mspVal,ohiBio,co2,phCopernicus,fmsyF,bBmsy,kbaMPA,natura2kEEZ,fseRiskkRatio,tacCatch,compositeIUU,fteCoastalPop,gvaHoursW,economies,gvaNights,oResearch,sadTac,ohiArt,threatenedFish,imoRatedf,seaMining
Denmark,2023,11.75,0.4098360655737705,33.33333333333333,73.24649298597194,100.0,72.39,68.10370519977805,98.23882926829268,88.52944517478029,95.7306336825142,86.74673,60.47361956180192,0.7720496877478951,96.258763869629,65.76866740278781,16.145873240556792,34.658992619851404,61.90596504629444,100.0,45.76150394509231,84.0364270238035,74.63,86.13861386138613,92.15686274509804,100.0
Estonia,2012,33.57142857142858,3.7037037037037033,47.05882352941176,44.08817635270541,25.0,82.49,26.78374431729417,97.61347560975611,95.0382989815767,99.8394231507324,97.60969,61.763280385540405,7.391741706109323,98.40449987926199,70.9521432613696,73.51859583142256,13.004556727629177,52.767271311877046,58.62052919061992,44.913898161150414,92.7532087058172,89.39,80.95238095238095,76.47058823529412,100.0
Estonia,2013,33.57142857142858,1.8181818181818181,39.529411764705884,70.44088176352705,31.25,80.77,24.186036341153745,97.7167987804878,91.92208565197075,99.86290419597047,97.60969,61.763280385540405,25.515653389081223,98.6622516828908,70.9521432613696,67.58796794459137,13.20098543701145,46.00372786261183,58.41737512554411,44.913898161150414,91.12844490312114,89.74,83.08270676691728,76.9607843137255,100.0
Estonia,2014,33.57142857142858,6.25,32.0,76.05210420841684,37.5,81.17,25.16350776157693,97.82012195121952,88.80587232236479,99.88638524120856,97.60969,61.763280385540405,6.949578419692656,98.92000348651959,70.9521432613696,64.1200228630235,14.765247686726596,25.29478136947908,53.23349179832615,45.15961835601395,89.50368110042506,89.91,85.21303258145363,77.45098039215686,100.0
Estonia,2015,33.57142857142858,3.448275862068966,28.12121212121212,76.55310621242486,43.75,79.38,29.863505334948886,97.92344512195123,85.68965899275885,99.90986628644663,97.60982,61.763280385540405,17.542877062883395,99.1777552901484,70.9521432613696,63.65955540228876,13.784927471868096,70.21965913389674,56.305603643637845,44.32588892385623,87.87891729772898,90.21,87.34335839598998,77.94117647058823,100.0
Estonia,2016,33.57142857142858,5.555555555555556,24.242424242424242,85.97194388777555,50.0,77.99,27.08547852405433,98.02676829268293,82.5734456631529,99.9333473316847,97.60982,61.763280385540405,100.0,99.4355070937772,70.9521432613696,62.53096258369099,13.749318269123789,48.12375885283536,58.49170483567201,45.76215725612566,86.25415349503291,90.36,89.47368421052632,78.43137254901961,100.0
Estonia,2017,33.57142857142858,3.3333333333333335,22.12121212121212,79.75951903807615,57.142857142857146,76.31,25.23164772761948,97.94339512195123,81.73831243499083,99.2244242042312,97.61188,61.763280385540405,100.0,98.94270400630332,70.9521432613696,59.88491656311843,15.061667806342252,74.88553079515034,60.118381192607586,45.76150394509231,87.02848590132649,90.6,89.602053915276,79.2156862745098,100.0
Estonia,2018,33.57142857142858,0.8849557522123895,20.0,81.96392785571143,64.28571428571429,76.08,26.451278473199284,97.86002195121951,80.90317920682877,98.5155010767777,97.61791,61.763280385540405,1.5769294282710171,98.44990091882944,70.9521432613696,59.77202800965217,18.685858387375735,77.67765919304136,76.358568382339,45.76150394509231,87.80281830762007,91.18,89.73042362002568,80.0,100.0
Estonia,2019,33.57142857142858,3.0303030303030303,22.5,85.57114228456915,71.42857142857143,76.75,38.34735655114495,97.7766487804878,80.0680459786667,97.80657794932421,97.62423,61.763280385540405,3.1998793045739085,97.95709783135555,70.9521432613696,60.20803722816923,18.63132109040836,94.55839454839042,85.15039486810909,45.76150394509231,88.57715071391365,91.54,89.85879332477535,80.78431372549021,100.0
Estonia,2020,33.57142857142858,3.448275862068966,25.0,87.57515030060121,78.57142857142857,77.02,51.784556974541715,97.69327560975609,79.23291275050464,97.0976548218707,97.62768,61.763280385540405,3.1998793045739085,97.46429474388167,70.9521432613696,41.38294981850449,18.786201464563607,54.68799880896064,75.93053481275523,45.76150394509231,89.35148312020723,91.88,89.98716302952504,81.5686274509804,100.0
Estonia,2021,33.57142857142858,25.0,25.0,87.57515030060121,85.71428571428572,76.3,45.744259277149,97.60990243902438,78.39777952234257,96.3887316944172,97.62768,61.763280385540405,3.1998793045739085,96.97149165640779,70.9521432613696,41.38294981850449,18.786201464563607,54.68799880896064,75.93053481275523,45.76150394509231,90.12581552650082,91.4,90.11553273427472,82.3529411764706,100.0
Estonia,2022,33.57142857142858,100.0,25.0,87.57515030060121,92.85714285714286,76.1,45.744259277149,97.60990243902438,77.56264629418051,95.6798085669637,97.62768,61.763280385540405,3.1998793045739085,96.4786885689339,70.9521432613696,41.38294981850449,18.786201464563607,54.68799880896064,75.93053481275523,45.76150394509231,90.9001479327944,99.24,90.2439024390244,82.3529411764706,100.0
Estonia,2023,33.57142857142858,100.0,25.0,87.57515030060121,100.0,76.1,45.744259277149,97.60990243902438,77.56264629418051,95.6798085669637,97.62768,61.763280385540405,3.1998793045739085,96.4786885689339,70.9521432613696,41.38294981850449,18.786201464563607,54.68799880896064,75.93053481275523,45.76150394509231,90.9001479327944,99.24,90.2439024390244,82.3529411764706,100.0
Finland,2012,19.789473684210527,3.7037037037037033,47.05882352941176,51.10220440881764,25.0,81.0,36.906728434632065,97.76550000000002,99.177365311527,99.84307242940889,59.78557,29.183475776488912,3.9294620282649246,98.94256795399569,53.277657858841025,17.422097283427583,26.2157109052778,35.661048360315405,65.41993503957804,6.11904191508165,99.4406555793436,84.67,81.81818181818181,76.47058823529412,100.0
Finland,2013,20.21505376344086,2.5,42.57703081232493,54.208416833667336,25.0,78.89,36.647120201104386,97.81943292682928,97.1904578629264,99.86761714006124,59.80147,29.183475776488912,9.512210216141264,99.16788049064814,53.277657858841025,16.410212113428425,28.658481651293332,53.17587454294329,59.978429122531594,6.11904191508165,99.01777774229042,84.37,83.66093366093367,76.9607843137255,100.0
Finland,2014,19.789473684210527,3.7037037037037033,38.095238095238095,68.43687374749499,25.0,78.84,39.87752446117521,97.87336585365856,95.2035504143258,99.89216185071359,59.82015,29.183475776488912,4.637598468959266,99.3931930273006,53.277657858841025,16.202341093510462,27.32573363328681,66.62194494227525,60.459520246575416,6.575194322785046,98.59489990523724,84.1,85.5036855036855,77.45098039215686,100.0
Finland,2015,18.98989898989899,2.7027027027027026,44.04761904761905,89.07815631262525,25.0,76.4,42.96638450761222,97.92729878048782,93.2166429657252,99.91670656136596,60.70879,29.183475776488912,11.232854602296326,99.61850556395305,53.277657858841025,14.887789919204447,25.98654255788011,74.33728456546669,55.652255850279765,5.981225655732964,98.17202206818408,83.74,87.34643734643734,77.94117647058823,100.0
Finland,2016,19.831223628691987,2.7027027027027026,50.0,97.39478957915833,25.0,74.86,40.406166890355365,97.98123170731708,91.2297355171246,99.9412512720183,60.80889,29.183475776488912,20.80775418352203,99.8438181006055,53.277657858841025,14.952275093638775,27.73838739210101,73.70810044985734,79.99458599498067,6.207166678101796,97.7491442311309,83.31,89.1891891891892,78.43137254901961,100.0
Finland,2017,18.25242718446602,2.7027027027027026,43.18181818181819,98.19639278557113,35.714285714285715,73.93,42.65911320485793,97.92841707317073,89.83159899128037,99.26923352522311,60.85378,30.54727872944248,16.50445447447488,98.55696325109952,53.277657858841025,14.379261086324732,26.97031381464044,32.11061309117136,61.99425116616739,6.142723018800719,97.39420394716831,82.93,89.32432432432432,80.78431372549021,100.0
Finland,2018,16.20689655172414,2.272727272727273,36.36363636363637,98.29659318637273,46.42857142857143,74.08,41.52242632622893,97.87560243902439,88.43346246543616,98.59721577842794,60.85404,31.91108168239604,6.737317872780589,97.27010840159353,53.277657858841025,14.436907074452243,28.269379905129465,74.0926683356044,63.85929808700679,6.142723018800719,97.0392636632057,82.73,89.45945945945947,83.13725490196079,100.0
Finland,2019,21.51029748283753,1.754385964912281,34.848484848484844,98.29659318637273,57.14285714285714,75.07,44.40771785740706,97.82278780487806,87.03532593959196,97.92519803163276,60.85412,33.27488463534961,10.999189440615584,95.98325355208755,53.277657858841025,14.961710307020013,17.604212936796625,63.714930137716166,63.87484788841783,6.142723018800719,96.6843233792431,80.87,89.5945945945946,85.49019607843138,100.0
Finland,2020,21.51029748283753,1.5151515151515151,33.33333333333333,99.5991983967936,67.85714285714286,75.21,51.83910163194949,97.76997317073172,85.63718941374773,97.25318028483757,60.85425,33.27692829611827,10.999189440615584,94.69639870258158,58.65436778200177,11.662557409117023,27.423563639036562,30.287034817206294,55.92532318913851,6.142723018800719,96.3293830952805,78.15,89.72972972972973,87.84313725490196,100.0
Finland,2021,21.51029748283753,9.090909090909092,33.33333333333333,99.5991983967936,78.57142857142857,74.51,51.70816345641972,97.71715853658537,84.23905288790351,96.58116253804238,60.85425,33.278971956886934,10.999189440615584,93.40954385307559,64.03107770516252,11.662557409117023,27.423563639036562,30.287034817206294,55.92532318913851,6.142723018800719,95.97444281131791,73.94,89.86486486486487,90.19607843137256,100.0
Finland,2022,21.51029748283753,0.78125,33.33333333333333,99.5991983967936,89.28571428571428,73.82,51.70816345641972,97.71715853658537,82.8409163620593,95.9091447912472,60.85425,33.278971956886934,10.999189440615584,92.1226890035696,64.03107770516252,11.662557409117023,27.423563639036562,30.287034817206294,55.92532318913851,6.142723018800719,95.61950252735531,77.45,90.0,90.19607843137256,100.0
Finland,2023,21.51029748283753,0.78125,33.33333333333333,99.5991983967936,100.0,73.82,51.70816345641972,97.71715853658537,82.8409163620593,95.9091447912472,60.85425,33.278971956886934,10.999189440615584,92.1226890035696,64.03107770516252,11.662557409117023,27.423563639036562,30.287034817206294,55.92532318913851,6.142723018800719,95.61950252735531,77.45,90.0,90.19607843137256,100.0
France,2012,40.0,100.0,32.0,64.12825651302605,25.0,72.6,61.80665365537477,98.6297804878049,91.0137667224097,97.1156812374079,62.51162,40.22515737844205,1.0330657159069088,84.1687567069571,54.60868413000854,15.22446352737086,35.856110792344175,32.38278848709318,47.09354456628407,65.1770996373695,90.3239540394309,77.09,88.13559322033899,84.31372549019608,100.0
