Country,Year,nitro,eutro,wasteG,wasteR,mspVal,ohiBio,co2,phCopernicus,fmsyF,bBmsy,kbaMPA,natura2kEEZ,fseRiskkRatio,tacCatch,compositeIUU,fteCoastalPop,gvaHoursW,economies,gvaNights,oResearch,sadTac,ohiArt,threatenedFish,imoRatedf,seaMining,14.1 Pollution,14.2 Ecosystem,14.3 Acidification,14.4 Sustainable Fishing,14.5 Protection,14.6 Incentives,14.7 Economics,14.a Science,14.b Small-scale Fishing,14.c Marine Agreements,scoreMean,scoreStd,scoreWeak,rankMean,rankStd,rankWeak
Finland,2016,19.831223628691987,2.7027027027027026,50.0,97.39478957915833,25.0,74.86,40.406166890355365,97.98123170731708,91.2297355171246,99.9412512720183,60.80889,29.183475776488912,20.80775418352203,99.8438181006055,53.277657858841025,14.952275093638775,27.73838739210101,73.70810044985734,79.99458599498067,6.207166678101796,97.7491442311309,83.31,89.1891891891892,78.43137254901961,100.0,30.42630936896912,49.27451220721114,68.57356083882061,95.5755650476144,44.71144874061983,57.01984079193655,57.59957115668463,49.477063104568884,86.24458406409278,89.15032427135716,52.666240691738366,7.662170892288848,62.80527795918751,10.0,1.1493256338433273,15.0
Finland,2022,21.51029748283753,0.78125,33.33333333333333,99.5991983967936,100.0,73.82,51.70816345641972,97.71715853658537,82.8409163620593,95.9091447912472,60.85425,33.278971956886934,10.999189440615584,92.1226890035696,64.03107770516252,11.662557409117023,27.423563639036562,30.287034817206294,55.92532318913851,6.142723018800719,95.61950252735531,77.45,90.0,90.19607843137256,100.0,27.79483206682011,86.81099307776121,74.35184911506836,89.35112115545907,46.861245728113786,54.43601774945765,34.87115103584296,48.44265350043998,83.70145998836611,95.08539891088826,50.78236812438239,8.802110495809996,64.17067223282176,11.0,1.3203165743714995,15.0
France,2012,40.0,100.0,32.0,64.12825651302605,25.0,72.6,61.80665365537477,98.6297804878049,91.0137667224097,97.1156812374079,62.51162,40.22515737844205,1.0330657159069088,84.1687567069571,54.60868413000854,15.22446352737086,35.856110792344175,32.38278848709318,47.09354456628407,65.1770996373695,90.3239540394309,77.09,88.13559322033899,84.31372549019608,100.0,62.06452647757427,48.190343893589926,80.00476390991454,94.05977515255508,51.24642207782239,44.67744255355786,34.81844224487497,77.64835039991249,82.59432051894949,92.12344162096647,56.873558199901304,7.389537524698975,66.74278288497175,6.0,1.1084306287048462,6.0
France,2016,19.789473684210527,33.333333333333336,27.586206896551722,64.62925851703407,25.0,71.76,66.84774177292998,98.51195121951221,93.5485098490612,96.9367017529231,76.43594,40.247364152473644,51.120646310890805,91.2790432757104,54.60868413000854,14.087974921703564,31.941735322882288,28.159941684020332,47.0124512099124,48.92925184582524,91.4595695891851,77.59,93.21608040201004,84.31372549019608,100.0,32.77194737965751,47.78714282962608,82.52719169200427,95.24109905219272,58.05571159963892,65.4310789859046,32.51174119709494,69.8664530857924,85.36724462885942,92.12344162096647,53.834515172764476,8.357103248464929,66.16830520717374,8.0,1.2535654872697395,10.0
France,2022,24.73684210526316,2.631578947368421,22.22222222222222,71.94388777555109,100.0,74.12,75.5728289467277,98.4240243902439,93.93825736601,96.3693350470772,81.88238,100.0,1.3118431789552008,97.87352723883839,61.476343739096905,12.409120987388304,34.658992619851404,0.2471554836806519,42.34838077464331,43.51330258197716,92.379607014536,78.61,91.33261105092092,96.07843137254902,100.0,23.768100958728798,86.96342688926062,86.9231521762423,95.15301978954996,90.89598638951381,51.34355418354387,20.95834940166653,67.49572266207076,84.94746841821556,98.03725475291591,47.75475844974729,13.113213384023906,70.64860356217082,12.0,1.966982007603586,5.0
Germany,2012,12.51664447403462,100.0,25.806451612903224,99.8997995991984,100.0,75.06,34.78365694080111,98.2334756097561,81.28393616363529,90.0884170930072,74.06325,100.0,12.965808161218407,97.8901774568688,51.24549739101663,53.96676666545611,36.439759406667314,38.80367037837006,70.67306918585015,4.3462886828647,90.6550515286384,73.21,77.61194029850746,80.3921568627451,100.0,56.737486348901584,87.44082727057057,65.71558448483266,85.67486240478546,86.93459418193471,52.781177568014705,51.3547551320234,45.00752169978161,75.40775771615752,90.14267603787502,63.32493070459083,5.244111399096902,69.71972428448773,1.0,0.7866167098645352,2.0
Germany,2016,13.613323678493847,100.0,24.242424242424242,100.0,100.0,72.28,35.99762846440503,98.22331707317073,87.2619235596082,93.2815185333434,74.5185,100.0,4.147635586673873,96.0750838598175,51.24549739101663,60.39313802551359,42.22176251552284,64.1762484221542,71.550444932331,3.390834733059939,85.3959149381942,72.73,87.02290076335878,82.3529411764706,100.0,56.89377423672129,86.02794111446111,66.3567587197932,90.2667024232123,87.16585574781023,48.683418456287065,62.259905499711735,41.948415984624106,79.84443237639381,91.13369981739606,63.42183838193235,6.542401809722129,71.05809043764108,1.0,0.9813602714583195,2.0
Germany,2022,17.60299625468165,50.0,21.62162162162162,100.0,100.0,71.52,43.28829007007357,98.10350000000001,90.8314321558532,93.4399566764646,80.79027,100.0,12.577896881899953,96.2548208041123,70.9521432613696,61.64375429924777,48.44134867115893,5.4694558463964675,85.36849669357767,3.31571702999271,87.7379170210565,73.23,82.89473684210526,88.23529411764706,100.0,41.902371804270246,85.6411494550116,70.14839407833853,92.13477123170394,90.34399713893256,58.62696047543084,47.12939331748359,42.990512706038345,78.04740038003811,94.09925104008414,61.006263090848435,6.522862562921871,70.10642016273319,4.0,0.9784293844382806,7.0
Ireland,2012,26.780626780626783,100.0,30.76923076923077,74.44889779559118,25.0,69.19,41.66211805827837,98.74096341463417,71.0537897990507,92.1308612235499,75.92082,5.360166167492898,0.430903565692305,95.73997690719021,58.86679147042513,5.668473153618169,23.178745940404475,87.95200480683074,59.059375991696285,100.0,98.1263847590427,69.9,86.59217877094972,66.66666666666667,100.0,58.86310995913011,46.55271011389628,69.6018019226416,81.52404992612618,38.75846359267961,49.38002603050911,52.69064521801585,99.06274941811003,78.20148107519525,83.16537802703962,58.06371896966661,5.904249593912091,65.78004152833438,4.0,0.8856374390868137,8.0
Ireland,2016,17.375231053604438,100.0,25.806451612903224,79.85971943887776,25.0,67.3,39.92299156868339,98.6169024390244,62.6852029769919,85.4371919705398,75.97923,8.007855644722536,9.167110332637888,94.3520008913316,58.86679147042513,8.099165393046071,24.868589067898515,100.0,85.07946526899045,100.0,87.3536873083006,73.52,93.75,68.62745098039215,100.0,55.40005606880536,45.64406551002808,68.62529359181482,73.97343271177783,40.36844123012746,52.71921606335059,65.84453621867281,93.6554845949128,83.5736624350263,84.16683265741518,59.42012388402327,5.716670379703865,66.39710210819314,2.0,0.8575005569555798,9.0
Ireland,2022,15.088282504012843,16.666666666666668,20.0,100.0,100.0,66.23,46.737264931130525,98.506,86.77033004182489,89.825423785472,83.16451,8.005513938227345,21.919322307474673,97.97141681858899,70.9521432613696,8.990205788533121,22.363955780321955,28.923978717969305,100.0,100.0,75.7530580768692,73.52,91.8859649122807,68.62745098039215,100.0,29.474394367010557,82.94211971770117,72.14855653984706,88.29655551599322,43.737766208082,62.708762400118,46.79200015280407,87.79259627488294,82.65188046438902,84.16683265741518,55.54327575926492,9.775111699898964,68.07114642982432,6.0,1.4662667549848447,11.0
