Country,Year,plastic,14.1,14.2,14.3,14.4,14.5,14.6,livelihoods,14.7,14.a,14.b,14.c
Estonia,2014,53.56177632986479,30.390176871564595,58.92226143126981,60.334364619946776,94.3298511760771,79.4829392513213,57.2249722980965,38.600924813413826,38.87313699146194,66.95870243420187,87.55836643104357,88.65363528163292
Estonia,2015,51.75179185275299,28.70010002766818,61.30299107658225,62.931395087835305,92.77249419718838,79.48300292961882,61.45634368150756,37.84131889459462,54.62301308747237,65.73594575903286,88.77552207525731,88.90202318567393
Estonia,2016,54.18296594363352,30.313012050783392,63.840552910681275,61.47879201901487,91.21204375598982,79.48300292961882,90.02245454384911,37.28585683933092,47.888081314666735,65.6918794716765,89.91673289890015,89.15032427135716
Estonia,2017,50.06733739180006,28.123036365883003,66.65733451140446,60.430276045324156,90.43905177631493,79.4840119852667,89.85978672627165,36.748858788953484,57.02457067005242,66.06824486377084,90.10088879298208,89.54742739099856
Estonia,2018,49.96136782329645,27.027024658630733,70.15804831760343,61.0547650866291,89.6660386122717,79.48696567240768,54.74046053741298,38.65916172780891,63.95103757401517,66.44482853442695,90.45492143186985,89.94431344207926
Estonia,2019,53.04510455559183,28.932811763700627,74.08450692870517,67.3877403198069,88.89300370469974,79.49006140303489,55.327412605953505,38.83850705890721,72.39316095865422,66.82129351121036,90.69900711982748,90.34098552282909
Estonia,2020,55.35883778341336,29.831959725754274,77.79532753946089,74.37983655473636,88.11994647445947,79.49175131590998,55.172248563894655,29.866363674125733,53.14645723295628,67.19764146516556,90.93308899793328,90.7374466612662
Estonia,2021,55.35883778341336,37.768093296074696,80.99345799668214,71.19558850013985,87.34686632152616,79.49175131590998,55.01704970550908,29.866363674125733,53.14645723295628,67.5738740310196,90.75753913150785,91.13369981739606
Estonia,2022,55.35883778341336,62.37681468511823,84.43694417908492,71.19558850013985,86.57376262403368,79.49175131590998,54.86181575712856,29.866363674125733,53.14645723295628,67.9499928082516,94.73126898434427,91.13369981739606
Estonia,2023,55.35883778341336,62.37681468511823,87.96862225479461,71.19558850013985,86.57376262403368,79.49175131590998,54.86181575712856,29.866363674125733,53.14645723295628,67.9499928082516,94.73126898434427,91.13369981739606
Finland,2012,49.07634882241612,23.3815678081549,52.2156337357922,66.61926766497074,99.51016320195048,44.2151396623163,50.156637159246614,21.774255443607995,40.5529435116096,50.212747024748424,83.24286960312465,88.15659580445072
Finland,2013,48.35768170670143,22.812367751195985,51.20560918140072,66.50747820014213,98.5281281968187,44.22285335983997,52.51507799842545,22.44992346762878,44.867331754925495,50.01526985606807,84.01539202626812,88.40515975870335
Finland,2014,53.04656459602122,24.608732114946385,51.18166647844839,68.2427344142617,97.54503886274759,44.2319156514642,50.59906970499833,21.692067045239686,49.12677873073892,50.09813144734487,84.8015523161381,88.65363528163292
Finland,2015,66.1733845398396,27.95415134272563,50.01277003923702,69.89426185271353,96.56086257180893,44.66291302545319,53.33126178416979,20.36073427926323,49.54868696324502,49.53525628534971,85.54131795437337,88.90202318567393
Finland,2016,73.30856702300547,30.42630936896912,49.27451220721114,68.57356083882061,95.5755650476144,44.71144874061983,57.01984079193655,21.247896209543438,57.59957115668463,49.477063104568884,86.24458406409278,89.15032427135716
Finland,2017,70.1374306867982,28.90844246426317,54.481036701345644,69.73346726000233,94.53863535529365,45.443797195557856,55.013193542750045,20.577178613559735,37.83996322146661,49.27161122527515,86.12122644833973,90.34098552282909
Finland,2018,66.58647319330098,26.928055084872636,60.09404272922278,69.11044511800281,93.5015232178773,46.1524460733889,50.8083472093343,21.238797641689178,52.48326335539526,49.105829081869125,86.08815284992701,91.52974788532191
Finland,2019,65.78044184843768,28.294459194412326,66.04544472195705,70.59943619978874,92.46422240956468,46.85906757758744,52.10112072877396,16.27759437031232,47.314533867754804,48.940042269405254,85.22112833900587,92.716689554384
Finland,2020,65.59666450563937,28.132130623560037,71.52411928069424,74.44543176403911,91.42672640891342,46.86018831656664,53.478657582345825,19.378893396673654,34.87115103584296,48.77425075632498,83.91987859263325,93.90188370116073
Finland,2021,65.59666450563937,31.16597914253429,76.53802006458201,74.35184911506836,90.38902838054867,46.861245728113786,54.84285458239584,19.378893396673654,34.87115103584296,48.60845451074246,81.8636578566086,95.08539891088826
Finland,2022,65.59666450563937,27.79483206682011,81.51613272736436,74.35184911506836,89.35112115545907,46.861245728113786,54.43601774945765,19.378893396673654,34.87115103584296,48.44265350043998,83.70145998836611,95.08539891088826
Finland,2023,65.59666450563937,27.79483206682011,86.81099307776121,74.35184911506836,89.35112115545907,46.861245728113786,54.43601774945765,19.378893396673654,34.87115103584296,48.44265350043998,83.70145998836611,95.08539891088826
France,2012,47.78969287663774,62.06452647757427,48.190343893589926,80.00476390991454,94.05977515255508,51.24642207782239,44.67744255355786,25.325007636429678,34.81844224487497,77.64835039991249,82.59432051894949,92.12344162096647
France,2013,47.56643256587475,27.480661086595564,47.82554856656279,80.00137278519117,94.35529725341753,51.59984030912335,46.08545510808041,25.894297226564802,54.27200792552343,77.78816263160942,83.4013827937555,92.12344162096647
France,2014,47.14830808112846,42.88951096542918,47.48945768101637,83.08580935903116,94.65069112572402,55.971876497621544,52.955106873175104,25.439008528072698,36.329626274988605,75.16430803737146,84.70702155789752,92.12344162096647
France,2015,46.461882071043945,32.07271785288849,47.74873589774782,82.68957294405251,94.94595799118294,57.10292261905647,59.296041236421914,25.285022532882564,43.17437881747766,72.52447796821517,84.76781184176161,92.12344162096647
France,2016,45.72346301329155,32.77194737965751,47.78714282962608,82.52719169200427,95.24109905219272,58.05571159963892,65.4310789859046,22.836435872869465,32.51174119709494,69.8664530857924,85.36724462885942,92.12344162096647
France,2017,47.81416154779977,41.77506901580756,54.15120681233457,82.32077562387693,95.22643578622286,68.48808190599037,71.22507065142614,24.70744237641226,46.88027577648529,67.12416584260863,84.72191911282076,93.30950067879132
France,2018,47.39014128848889,22.83969964284431,59.49647676013383,83.80702923530815,95.21176587966139,79.13301345782912,47.71821249808321,23.851459794764025,56.71737918457785,67.1984855821941,84.4754930640654,94.49384705474228
France,2019,46.43550841390783,27.533750273349575,65.22560514993155,84.50020994093315,95.19708932962003,90.88185444453946,48.06067050010764,23.48021999441588,52.91583007549638,67.27280112254736,84.32500721434539,95.67654719022727
France,2020,46.387045472160494,24.32462940125167,70.6679578272941,90.09095089468899,95.18240613319826,90.89598638951381,49.531688530059675,23.258734250564256,20.95834940166653,67.3471124750781,84.34106951545253,96.85766351021454
France,2021,46.387045472160494,31.8900631913214,76.37757214472657,86.9231521762423,95.16771628748326,90.89598638951381,51.00000451159445,23.258734250564256,20.95834940166653,67.42141965114797,83.35739667388191,98.03725475291591
France,2022,46.387045472160494,23.768100958728798,81.66761102396003,86.9231521762423,95.15301978954996,90.89598638951381,51.34355418354387,23.258734250564256,20.95834940166653,67.49572266207076,84.94746841821556,98.03725475291591
France,2023,46.387045472160494,23.768100958728798,86.96342688926062,86.9231521762423,95.15301978954996,90.89598638951381,51.34355418354387,23.258734250564256,20.95834940166653,67.49572266207076,84.94746841821556,98.03725475291591
Germany,2012,61.67599142012428,56.737486348901584,87.44082727057057,65.71558448483266,85.67486240478546,86.93459418193471,52.781177568014705,45.1176980207932,51.3547551320234,45.00752169978161,75.40775771615752,90.14267603787502
Germany,2013,61.296591410110324,24.647593734991478,86.85672690603111,65.29455037655929,86.82309463648357,86.97183513463685,52.638966292166145,44.132409158276886,63.65333699747231,44.39456025793356,76.16289542435372,90.39055463969318
Germany,2014,60.86841231796054,57.14349340031482,86.19581743541966,66.23561465967033,87.97114059985762,86.97183513463685,52.49672720790456,44.80612057262071,53.568568659469896,43.63923600934781,76.97025233097698,90.63835098948124
Germany,2015,60.86841231796054,56.07157836506765,86.15512416003233,66.26004682590406,89.11900756566423,87.11182823907912,60.65537353142008,46.48247809299933,68.50450278852517,42.51791906945442,79.93110746585889,90.88606581087994
Germany,2016,60.86841231796054,56.89377423672129,86.02794111446111,66.3567587197932,90.2667024232123,87.16585574781023,48.683418456287065,51.22651834199496,62.259905499711735,41.948415984624106,79.84443237639381,91.13369981739606
Germany,2017,60.48826646217298,57.406103832588904,86.04320440736875,66.73312186988882,90.57828211558822,88.42148720634553,55.0374481952313,54.88904311755474,72.88378748852195,42.08181596675597,80.44098541166285,91.7276958980959
Germany,2018,60.10724053052921,28.878061164057147,85.7327792316886,67.53957700100064,90.88976654302395,90.23043134060475,52.08211427681365,53.93736562168283,57.97807243243331,42.263563575715175,81.12086166535458,92.32124001554483
Germany,2019,59.62387205213756,57.996328495581466,85.84475324648403,68.89244214041473,91.2011566988025,90.34399713893256,52.09150594430012,56.99629801092968,77.39586117929495,42.445307019486336,78.93659230418146,92.91434136111383
Germany,2020,59.42527968492344,24.50953968941648,85.69714700196359,71.39830983572763,91.5124535602457,90.34399713893256,55.37121524240724,55.00285883631746,47.12939331748359,42.62704633292722,77.44050476894755,93.50700883116838
Germany,2021,59.42527968492344,41.902371804270246,85.68187543410508,70.14839407833853,91.82365808906528,90.34399713893256,58.61745802579005,55.00285883631746,47.12939331748359,42.80878155045191,76.68560690148614,94.09925104008414
Germany,2022,59.42527968492344,41.902371804270246,85.6411494550116,70.14839407833853,92.13477123170394,90.34399713893256,58.62696047543084,55.00285883631746,47.12939331748359,42.990512706038345,78.04740038003811,94.09925104008414
Germany,2023,59.42527968492344,41.902371804270246,85.6411494550116,70.14839407833853,92.13477123170394,90.34399713893256,58.62696047543084,55.00285883631746,47.12939331748359,42.990512706038345,78.04740038003811,94.09925104008414
Ireland,2012,52.13969577527791,58.86310995913011,46.55271011389628,69.6018019226416,81.52404992612618,38.75846359267961,49.38002603050911,14.135598054053736,52.69064521801585,99.06274941811003,78.20148107519525,83.16537802703962
Ireland,2013,54.12460465662872,56.55373355835311,45.92779458228342,70.06448832163957,79.63682979916798,39.15964871504904,49.27176362550922,14.939629499964026,48.35655798154806,97.71393705755632,79.17783835355286,83.41590200396762
Ireland,2014,50.909857289724535,56.18513434619157,45.83162327698969,70.30675610142738,77.7493346076879,39.556843771655345,49.16348562831293,13.950165519675616,48.52219864682466,96.36317962263004,80.94344489420736,83.66631836225264
Ireland,2015,52.78263576995145,56.480708658980426,45.74025291036558,69.29025312479891,75.8615433287056,39.95051143163192,52.38352415723813,14.237767825642038,49.67154857162256,95.01039238693396,82.86582253515742,83.91662821514186
