,Year,enName,speciesAcronym,FishStock,StockKey,SpeciesName,ICES Areas (splited with character '~'),StockSize,StockSizeDescription,StockSizeUnits,FishingPressure,FishingPressureDescription,FishingPressureUnits,Flim,Fpa,Blim,Bpa,FMSY,MSYBtrigger,CatchesLadingsUnits,Landings,OfficialLandings,Catches,Report,AssessmentKey,AssessmentYear,fullArea,area,Area,Species,Belgium,China,Denmark,Estonia,Faroe Islands,Finland,France,Germany,Greenland,Guernsey,Iceland,Ireland,Isle of Man,Japan,Jersey,"Korea, Republic of",Latvia,Lithuania,Netherlands,Norway,Poland,Portugal,Russian Federation,Spain,Sweden,"Taiwan, Province of China",United Kingdom of GB,_mergeCatch,sumOffCatches,diffCatches
26,2020,Sole,sol,sol.27.20-24,169277,Solea solea,27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,2536,SSB,tonnes,0.206,F,,0.315,0.26,1850,2600,0.26,2600,tonnes,424,,,https://doi.org/10.17895/ices.advice.19453811.v2,16970,2022,0,27.3.a.20,27.3.a.20,sol,,,105.0,,,,,17.2557,,,,,,,,,,,,0.0,,,,,0.7969,,0.0,both,123.0526,
27,2012,Sprat,spr,spr.27.22-32,169279,Sprattus sprattus,27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24 ~ 27.3.d.25 ~ 27.3.d.26 ~ 27.3.d.27 ~ 27.3.d.28.1 ~ 27.3.d.28.2 ~ 27.3.d.29 ~ 27.3.d.30 ~ 27.3.d.31 ~ 27.3.d.32,700000,SSB,tonnes,0.3424,F,,0.63,0.41,410000,570000,0.31,570000,tonnes,231000,,231000.0,https://doi.org/10.17895/ices.advice.19453856.v1,16975,2022,0,27.3.b.23,27.3.b.23,spr,,,28.7,,,,,,,,,,,,,,,,,,,,,,0.0,,,both,28.7,-0.9998757575757575
28,2016,Sprat,spr,spr.27.22-32,169279,Sprattus sprattus,27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24 ~ 27.3.d.25 ~ 27.3.d.26 ~ 27.3.d.27 ~ 27.3.d.28.1 ~ 27.3.d.28.2 ~ 27.3.d.29 ~ 27.3.d.30 ~ 27.3.d.31 ~ 27.3.d.32,1099000,SSB,tonnes,0.339,F,,0.63,0.41,410000,570000,0.31,570000,tonnes,247000,,247000.0,https://doi.org/10.17895/ices.advice.19453856.v1,16975,2022,0,27.3.b.23,27.3.b.23,spr,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,both,0.0,-1.0
29,2020,Sprat,spr,spr.27.22-32,169279,Sprattus sprattus,27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24 ~ 27.3.d.25 ~ 27.3.d.26 ~ 27.3.d.27 ~ 27.3.d.28.1 ~ 27.3.d.28.2 ~ 27.3.d.29 ~ 27.3.d.30 ~ 27.3.d.31 ~ 27.3.d.32,835000,SSB,tonnes,0.3687,F,,0.63,0.41,410000,570000,0.31,570000,tonnes,272000,,272000.0,https://doi.org/10.17895/ices.advice.19453856.v1,16975,2022,0,27.3.b.23,27.3.b.23,spr,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,both,0.0,-1.0
30,2012,Herring,her,her.27.3031,169673,Clupea harengus,27.3.d.30 ~ 27.3.d.31,818278,SSB,tonnes,0.159097,F,,0.496,0.272,376571,533515,0.271,533515,tonnes,,,106007.0,https://doi.org/10.17895/ices.advice.19447979.v1,16997,2022,0,27.3.d.30,27.3.d.30,her,,,,,,94055.12,,,,,,,,,,,0.0,,,,,,,,6397.2,,,both,100452.31999999999,-0.052399181186148155
31,2016,Herring,her,her.27.3031,169673,Clupea harengus,27.3.d.30 ~ 27.3.d.31,668702,SSB,tonnes,0.253249,F,,0.496,0.272,376571,533515,0.271,533515,tonnes,,,130029.0,https://doi.org/10.17895/ices.advice.19447979.v1,16997,2022,0,27.3.d.30,27.3.d.30,her,,,,,,103432.989,,,,,,,,,,,0.0,,,,,,,,22001.6,,,both,125434.589,-0.03533374093471451
32,2020,Herring,her,her.27.3031,169673,Clupea harengus,27.3.d.30 ~ 27.3.d.31,581614,SSB,tonnes,0.165865,F,,0.496,0.272,376571,533515,0.271,533515,tonnes,,,72956.0,https://doi.org/10.17895/ices.advice.19447979.v1,16997,2022,0,27.3.d.30,27.3.d.30,her,,,,,,59416.916,,,,,,,,,,,0.0,,,,,,,,12105.3832,,,both,71522.2992,-0.01965158177531671
33,2012,Cod,cod,cod.27.22-24,169075,Gadus morhua,27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,15849,SSB,tonnes,0.982,F,,1.23,0.689,15067,23492,0.26,23492,tonnes,8622.06872683477,,,https://doi.org/10.17895/ices.advice.19447868.v1,17001,2022,0,27.3.b.23,27.3.b.23,cod,,,707.31,,,,,,,,,,,,,,,,,,,,,,394.1,,,both,1101.4099999999999,
34,2016,Cod,cod,cod.27.22-24,169075,Gadus morhua,27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,12742,SSB,tonnes,0.949,F,,1.23,0.689,15067,23492,0.26,23492,tonnes,6121.82941658022,,,https://doi.org/10.17895/ices.advice.19447868.v1,17001,2022,0,27.3.b.23,27.3.b.23,cod,,,664.65,,,,,,,,,,,,,,,,,,,,,,455.97,,,both,1120.62,
35,2020,Cod,cod,cod.27.22-24,169075,Gadus morhua,27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,9133,SSB,tonnes,0.905,F,,1.23,0.689,15067,23492,0.26,23492,tonnes,2900.11631435728,,,https://doi.org/10.17895/ices.advice.19447868.v1,17001,2022,0,27.3.b.23,27.3.b.23,cod,,,172.0,,,,,,,,,,,,,,,,,,,,,,331.6603,,,both,503.6603,
