,Country,Year,nitro,wasteG,wasteR,scoreESD,co2pc,mpa,ohiBio,fseScore,ohiLive,ohiTour,oResearch,ohiArt,threatened,imoRatedf,plastic,14.1,14.3,14.5,14.7,14.b
45,Germany,2016,56.83,76.47,99.8,99.6195418060009,43.51,100.0,69.15,100.0,89.31,72.02,0.65,73.04,75.127,80.3921568627451,88.05754580182862,72.27399632214608,70.99766828785816,84.43343572846494,80.61857347028912,74.08276506354295
46,Germany,2017,60.2,76.47,99.8,92.01627198172515,45.35,100.0,69.35,99.93,89.31,72.71,0.63,75.54,75.127,80.3921568627451,88.05754580182862,73.99702105705889,68.27765194789636,84.53544407517761,80.96739537355295,75.33347169764392
47,Germany,2018,52.86,74.79,99.9,97.91966836631154,48.77,100.0,69.04,99.78,89.31,72.5,0.63,78.29,75.127,88.23529411764706,87.2544096396485,69.84365125441697,72.92390562035425,84.37732381944505,80.86125143461089,76.70686957815452
205,Germany,2019,52.86,74.79,99.5,93.73115158866996,53.76,100.0,72.33,99.78,89.31,73.7,0.63,72.86,75.127,88.23529411764706,87.05708100824879,69.74715439162851,73.47086235939594,86.05337973457942,81.46756390452943,73.992631761883
144,Germany,2020,52.86,73.11,99.9,100.0,60.73,100.0,72.06,99.78,89.31,61.08,0.63,69.73,75.127,88.23529411764706,86.40081419475483,69.42616793297927,80.12234439626945,85.91599920319075,75.06162186463875,72.42347171422477
380,Germany,2021,52.86,73.11,99.9,100.0,57.15,100.0,72.13,99.78,89.31,61.51,0.63,67.43,75.127,88.23529411764706,86.40081419475483,69.42616793297927,78.27864092569192,85.95161920503355,75.28105452282115,71.26810474338807
572,Gibraltar,2013,,,,,,,,,,,3.858181818181819,,,,,,,,,
573,Gibraltar,2014,,,,,,,,,,,5.77375,,,,,,,,,
574,Gibraltar,2015,,,,,,,,,,,6.13375,,,,,,,,,
575,Gibraltar,2016,,,,,,,,,,,15.43090909090909,,,,,,,,,
576,Gibraltar,2017,,,,,,,,,,,12.894,,,,,,,,,
48,Greece,2012,65.26,94.12,32.2,100.0,56.07,4.86,66.28,99.72,64.92,85.06,3.858181818181819,64.0,90.526,80.3921568627451,62.36246594411135,63.80958817425483,77.72105161205408,33.94651176369196,74.92215427974169,77.14851794103845
49,Greece,2013,62.8,94.12,32.3,100.0,62.93,4.86,65.07,99.71,61.38,95.42,3.858181818181819,63.12,90.526,80.3921568627451,62.415876607455274,62.6079088443954,81.25202415344494,33.38062244962271,78.21356659898777,76.700040146198
50,Greece,2014,61.5,89.08,32.8,100.0,64.85,4.86,64.22,99.51,61.38,97.84,5.77375,61.45,90.526,80.3921568627451,60.26126704213601,60.88031845997462,82.23597871375416,32.983041533181,79.39914722977892,75.8479472201151
51,Greece,2015,61.32,89.08,37.1,100.0,67.34,4.86,63.91,99.12,61.38,99.71,6.13375,60.89,90.526,80.3921568627451,62.5360347736651,61.927718901648134,83.50947008799368,32.8380298083696,80.31447904195998,75.56191382686401
145,Greece,2016,61.32,84.03,40.2,100.0,69.72,4.86,61.41,100.0,61.38,98.98,15.43090909090909,60.51,90.526,80.3921568627451,61.71874268411976,61.519339035966325,84.7241144663107,31.668345163137268,79.95723826894583,75.367731700563
209,Greece,2017,61.32,84.03,48.1,100.0,66.92,15.06,61.05,99.97,61.38,100.0,12.894,60.38,90.526,80.3921568627451,65.8171956218367,63.56461990755255,83.2948623248996,37.30260470355648,80.45636805298531,75.30128449494099
146,Greece,2018,61.32,89.08,39.8,100.0,69.17,15.06,60.73,99.45,61.38,100.0,12.894,60.43,90.526,84.31372549019608,63.9549482333855,62.63608845738944,84.44363733505143,37.15028693654097,80.45636805298531,75.32684211024738
210,Greece,2019,61.32,89.08,37.6,100.0,73.8,15.06,60.4,99.66,61.38,100.0,12.894,60.21,90.526,84.31372549019608,62.79931341450087,62.059215916211436,86.80082957499582,36.993190587872064,80.45636805298531,75.2143792517571
147,Greece,2020,61.32,90.76,37.6,100.0,81.72,15.06,60.07,99.3,61.38,92.85,12.894,60.34,90.526,84.31372549019608,63.61021659822481,62.464058627710905,90.81393962659013,36.836075124074426,76.95317401970824,75.28083750350888
394,Greece,2021,61.32,90.76,37.6,100.0,81.01,15.06,59.75,99.3,61.38,99.01,12.894,59.54,90.526,84.31372549019608,63.61021659822481,62.464058627710905,90.45508870025625,36.683702308681404,79.97192143462216,74.87172863953782
577,Guernsey,2013,,,,,,,,,,,3.858181818181819,,,,,,,,,
578,Guernsey,2014,,,,,,,,,,,5.77375,,,,,,,,,
579,Guernsey,2015,,,,,,,,,,,6.13375,,,,,,,,,
580,Guernsey,2016,,,,,,,,,,,15.43090909090909,,,,,,,,,
581,Guernsey,2017,,,,,,,,,,,12.894,,,,,,,,,
52,Ireland,2012,72.02,82.35,74.3,100.0,55.34,7.77,67.64,98.29,73.29,23.52,3.858181818181819,66.92,,66.66666666666667,78.3146528804815,75.16073516830427,77.34378178460247,36.31309765981669,47.72897080691472,
53,Ireland,2013,65.17,82.35,84.1,100.0,57.38,7.77,66.38,98.29,77.3,22.73,3.858181818181819,70.3,,66.66666666666667,83.22454001737432,74.14219908197836,78.39730142552335,35.721021493782125,49.22226705803068,
54,Ireland,2014,67.28,71.43,83.2,100.0,58.56,7.77,66.18,98.29,77.3,23.79,5.77375,72.79,,66.66666666666667,77.29257780240285,72.26893719038169,79.00561942450055,35.62702817908653,49.79385934716287,
55,Ireland,2015,66.34,71.43,84.1,100.0,55.78,7.77,65.99,99.33,77.3,20.43,6.13375,75.66,,66.66666666666667,77.73916384595705,72.01700824102973,77.57121448676926,35.53773118935831,47.9749513249045,
56,Ireland,2016,63.52,78.15,79.7,99.31200455558665,53.56,7.77,64.11,99.88,77.3,19.77,100.0,75.46,,66.66666666666667,78.92461948938619,71.18056856772257,76.08762358806035,34.65398183691498,47.61509044857817,
57,Ireland,2017,59.85,78.15,77.7,92.80009219552285,56.7,7.77,67.84,99.77,77.3,22.05,100.0,73.6,,66.66666666666667,77.92496751679168,68.82800620923668,74.52964096271509,36.407065224062606,48.854537226339566,
148,Ireland,2018,59.85,76.47,95.7,86.0039878267083,57.47,7.77,67.55,99.21,77.3,22.06,100.0,73.79,,68.62745098039215,86.03117615199612,72.82239134532043,71.59403906954545,36.27081112550638,48.859951150841724,
214,Ireland,2019,59.85,76.47,97.1,82.31222486062532,61.38,7.77,64.03,99.21,77.3,24.72,100.0,73.16,,68.62745098039215,86.72353399896126,73.16279059606214,71.76957022941495,34.616368119428095,50.29379096336277,
149,Ireland,2020,59.85,70.59,100.0,81.22281918221042,65.83,7.77,67.28,99.21,77.3,21.54,100.0,73.11,,68.62745098039215,85.16751666772642,72.39761014803068,73.48604408612961,36.143947291823686,48.57817861594826,
408,Ireland,2021,59.85,70.59,100.0,96.14660231561292,62.32,7.77,67.09,99.21,77.3,21.68,100.0,73.74,,68.62745098039215,85.16751666772642,72.39761014803068,79.05118995983449,36.05466891932364,48.654090659821016,
58,Italy,2012,52.1,64.71,71.8,100.0,68.21,29.28,68.72,99.54,83.58,54.93,9.55,61.1,92.668,72.54901960784314,68.24578933900575,60.118554400712675,83.95376518889228,48.59005105192064,69.10562107003443,76.7206589937781
59,Italy,2013,56.36,64.71,73.6,100.0,73.28,29.28,66.85,99.59,85.62,61.42,9.55,60.76,92.668,72.54901960784314,69.14070344763455,62.717748385838966,86.53652341631236,47.68650951655681,73.41991003270451,76.5467156447403
60,Italy,2014,58.33,59.66,78.9,100.0,77.02,29.28,66.55,99.38,85.62,65.89,9.23,65.07,92.668,72.54901960784314,69.21296316993917,63.748233881652446,88.43518028167134,47.54148141564386,75.69055932936286,78.74757428577391
